epoch;accuracy;auc;loss;val_accuracy;val_auc;val_loss
0;0.5439289212226868;0.5675026178359985;0.6869571208953857;0.562403678894043;0.605695366859436;0.6743845343589783
1;0.6248766183853149;0.669217050075531;0.6518356204032898;0.5192604064941406;0.5445559620857239;0.7069618105888367
2;0.6367226243019104;0.6857337951660156;0.6389553546905518;0.5824345350265503;0.6200911402702332;0.6676539778709412
3;0.62635737657547;0.6868913173675537;0.6335722208023071;0.5993836522102356;0.6537638902664185;0.651295006275177
4;0.6436327695846558;0.6991212368011475;0.6294196844100952;0.5608628392219543;0.6098122000694275;0.6759976744651794
5;0.6549851894378662;0.7154791355133057;0.6194393038749695;0.5932203531265259;0.6463683247566223;0.6578564643859863
6;0.6554787755012512;0.7166503071784973;0.6157727837562561;0.6271186470985413;0.6794154644012451;0.6379625201225281
7;0.6520236730575562;0.7151040434837341;0.6185011863708496;0.5993836522102356;0.652716875076294;0.6554883122444153
8;0.6539980173110962;0.725225567817688;0.6082780957221985;0.6224961280822754;0.6748903393745422;0.6434263586997986
9;0.6609082221984863;0.725838303565979;0.6073161959648132;0.6178736686706543;0.6711819171905518;0.6403350234031677
10;0.6653504371643066;0.7358434796333313;0.6030892133712769;0.6132511496543884;0.6647716760635376;0.6473138928413391
11;0.6569595336914062;0.7337396144866943;0.602446436882019;0.6055470108985901;0.6545485258102417;0.6589601039886475
