epoch;accuracy;auc;loss;val_accuracy;val_auc;val_loss
0;0.6278380751609802;0.6692497730255127;0.650730311870575;0.5855161547660828;0.6320949196815491;0.6614735126495361
1;0.6377097964286804;0.6942623257637024;0.6373591423034668;0.5608628392219543;0.58217453956604;0.6961843967437744
2;0.6219151020050049;0.6862685680389404;0.6356799602508545;0.5639445185661316;0.594025194644928;0.6876616477966309
3;0.6475814580917358;0.7093477845191956;0.6235828995704651;0.508474588394165;0.5279142260551453;0.7627085447311401
4;0.6589338779449463;0.7124864459037781;0.6196014285087585;0.5824345350265503;0.6158199906349182;0.6772797703742981
5;0.6520236730575562;0.7120404839515686;0.6199966669082642;0.6178736686706543;0.6505683064460754;0.6618745923042297
6;0.6658440232276917;0.7252579927444458;0.6131547093391418;0.614791989326477;0.6671671867370605;0.6483856439590454
7;0.6614017486572266;0.727679967880249;0.6079304218292236;0.5947611927986145;0.6539881825447083;0.657547652721405
8;0.6673247814178467;0.733238160610199;0.6057415008544922;0.6132511496543884;0.6628332734107971;0.6493117213249207
9;0.6811451315879822;0.7504289746284485;0.5938447117805481;0.6009244918823242;0.6439170241355896;0.6630468368530273
10;0.6791707873344421;0.7456545233726501;0.5937340259552002;0.6224961280822754;0.6650067567825317;0.652486264705658
11;0.6688055396080017;0.7366840243339539;0.5996506810188293;0.6040061712265015;0.6487365365028381;0.6639313697814941
