epoch;accuracy;auc;loss;val_accuracy;val_auc;val_loss
0;0.5952615737915039;0.6511121988296509;0.6569109559059143;0.5916795134544373;0.6295034885406494;0.6651597023010254
1;0.6293188333511353;0.6750548481941223;0.6453673243522644;0.5331279039382935;0.5582584142684937;0.7033793926239014
2;0.62635737657547;0.6868882179260254;0.6356881856918335;0.614791989326477;0.6195379495620728;0.6697945594787598
3;0.6298124194145203;0.6920135021209717;0.6342341303825378;0.543913722038269;0.5587214231491089;0.7134841680526733
4;0.62635737657547;0.6898253560066223;0.6323550343513489;0.5485361814498901;0.5745416283607483;0.6989052295684814
5;0.6520236730575562;0.7072685956954956;0.6225582361221313;0.6163328289985657;0.6535146236419678;0.6568023562431335
6;0.6451135277748108;0.7172512412071228;0.6139212846755981;0.6024653315544128;0.6569749116897583;0.6489088535308838
7;0.6530108451843262;0.7174869179725647;0.6156529784202576;0.624036967754364;0.6681727170944214;0.6507748961448669
8;0.6589338779449463;0.7314412593841553;0.6055601239204407;0.5762711763381958;0.6105552911758423;0.6795965433120728
9;0.6628825068473816;0.7229446172714233;0.6092447638511658;0.6255778074264526;0.681378960609436;0.6391477584838867
10;0.6490622162818909;0.7230319380760193;0.6070294976234436;0.6024653315544128;0.6388054490089417;0.6643872857093811
11;0.6688055396080017;0.7307034730911255;0.6018857359886169;0.6101694703102112;0.6569820642471313;0.6547869443893433
12;0.6786772012710571;0.7373849153518677;0.6009630560874939;0.5577812194824219;0.5994988083839417;0.7019273638725281
13;0.6688055396080017;0.7407337427139282;0.5966958999633789;0.58859783411026;0.6097314357757568;0.6957446932792664
14;0.6791707873344421;0.7465971112251282;0.589614987373352;0.5932203531265259;0.6554436087608337;0.6555340886116028
