epoch;accuracy;auc;loss;val_accuracy;val_auc;val_loss
0;0.5538005828857422;0.570426881313324;0.686249852180481;0.5208012461662292;0.5337902307510376;0.7007885575294495
1;0.6066139936447144;0.6599335074424744;0.6542684435844421;0.5916795134544373;0.6374391317367554;0.658740222454071
2;0.6317867636680603;0.6817252039909363;0.642192542552948;0.58859783411026;0.6498833298683167;0.6516281366348267
3;0.6288252472877502;0.6943291425704956;0.6315918564796448;0.5546995401382446;0.6097386479377747;0.6774023771286011
4;0.6451135277748108;0.699089765548706;0.6304603219032288;0.6040061712265015;0.6533626317977905;0.652233362197876
5;0.6594274640083313;0.7170565724372864;0.618199348449707;0.5469954013824463;0.5853998064994812;0.6985759139060974
6;0.6505429148674011;0.7147693037986755;0.6176769733428955;0.6055470108985901;0.6584480404853821;0.6504508256912231
7;0.6535044312477112;0.7269166111946106;0.6097535490989685;0.6286594867706299;0.6724271774291992;0.6436855792999268
8;0.6707798838615417;0.7302224040031433;0.6073330640792847;0.562403678894043;0.611489474773407;0.6839687824249268
9;0.6599210500717163;0.7269145846366882;0.6073310375213623;0.5932203531265259;0.6361558437347412;0.6657107472419739
10;0.6717670559883118;0.740473747253418;0.6009008288383484;0.6040061712265015;0.6418883204460144;0.662988543510437
11;0.673247754573822;0.7355197668075562;0.6037964820861816;0.6286594867706299;0.6638992428779602;0.6518986821174622
12;0.6697927117347717;0.7460746169090271;0.5954725742340088;0.6132511496543884;0.6775386929512024;0.641962468624115
13;0.6821323037147522;0.7487677931785583;0.591861367225647;0.6086286306381226;0.6454662084579468;0.6675040125846863
14;0.6841065883636475;0.7496572136878967;0.5921249985694885;0.6255778074264526;0.6777809262275696;0.6392711400985718
15;0.6781836152076721;0.749905526638031;0.5919511914253235;0.5639445185661316;0.5986762046813965;0.7067645192146301
16;0.6801579594612122;0.7483618855476379;0.5924947261810303;0.5916795134544373;0.6206205487251282;0.691663920879364
17;0.6850937604904175;0.7540950179100037;0.5873390436172485;0.579352855682373;0.6040797233581543;0.7056390047073364
18;0.674234926700592;0.7481308579444885;0.5895702838897705;0.6224961280822754;0.6626788973808289;0.6565685272216797
19;0.6791707873344421;0.7555322647094727;0.5844630002975464;0.6070878505706787;0.6572633385658264;0.6622801423072815
